City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
81,Tasiilaq,GL,1667878755,65.6145,-37.6368,28.74,94,100,2.71
82,Henties Bay,NA,1667878469,-22.116,14.2845,60.13,93,2,6.87
83,Kolāras,IN,1667878812,25.2333,77.6,78.64,40,61,3.76
84,Lavrentiya,RU,1667878534,65.5833,-171.0,27.79,96,100,20.92
85,Saint Paul Harbor,US,1667878293,57.79,-152.4072,36.91,87,100,13.8
86,Bredasdorp,ZA,1667878201,-34.5322,20.0403,56.77,87,73,4.88
87,Umluj,SA,1667878812,25.0213,37.2685,72.97,58,0,7.61
88,Gobabis,NA,1667878813,-22.45,18.9667,60.21,73,0,3.76
89,Pacific Grove,US,1667878813,36.6177,-121.9166,55.09,71,40,8.99
90,Newport,GB,1667878736,51.5877,-2.9984,52.77,90,81,21.0
91,Hyères,FR,1667878813,43.1167,6.1167,59.68,79,0,8.05
92,Sukhodol,RU,1667878814,53.9006,51.2117,27.63,98,81,4.81
93,Sofiko,GR,1667878814,37.8,23.05,48.52,80,3,4.63
94,Torbay,CA,1667878534,47.6666,-52.7314,58.75,95,75,21.85
95,Bulgan,MN,1667878820,48.8125,103.5347,42.22,39,45,4.7
96,Thompson,CA,1667878712,55.7435,-97.8558,-11.04,84,0,3.44
97,Kavaratti,IN,1667878821,10.5669,72.642,81.45,73,1,6.04
98,Arraial do Cabo,BR,1667878821,-22.9661,-42.0278,67.17,82,100,5.44
99,Zhengjiatun,CN,1667878821,43.5064,123.5064,51.24,28,81,15.77
100,Natal,BR,1667878822,-5.795,-35.2094,77.22,78,20,6.91
101,Luanda,AO,1667878448,-8.8368,13.2343,77.0,88,75,8.05
102,Yerbogachën,RU,1667878822,61.2767,108.0108,19.94,91,100,8.72
103,Carutapera,BR,1667878539,-1.195,-46.02,76.28,91,96,6.4
104,Ponta do Sol,PT,1667878823,32.6667,-17.1,68.72,81,74,4.76
105,Mayo,US,1667878823,38.8876,-76.5119,66.15,50,0,5.75
